지역명,도로명,차선,최고속도
서대문구,성산로,2,50
구로구,남부순환로,2,40
강남구,삼성로95길,1,30
강남구,학동로20길,1,30
중랑구,상봉중앙로1다길,1,30
중랑구,동일로149길,1,30
구로구,오리로,1,30
동대문구,사가정로,2,50
강남구,양재대로,1,40
영등포구,양평로24길,1,30
중구,다산로10길,1,30
광진구,동일로,3,50
양천구,신월로20길,1,30
강서구,양천로24길,1,10
강서구,김포한강로,3,80
금천구,벚꽃로6길,2,50
구로구,신정로,3,50
동대문구,장한로,3,60
도봉구,우이천로4길-한천로115길,1,50
중랑구,봉화산로,2,50
금천구,벚꽃로,2,40
구로구,남부순환로,1,50
강동구,올림픽대로,1,40
금천구,디지털로9길,2,40
중구,다산로,3,50
노원구,월계로45길,1,30
노원구,화랑로51나길,1,30
노원구,덕릉로77길,1,30
노원구,동일로245가길,1,30
마포구,모래내로,2,50
성북구,삼선교로,1,30
강북구,솔샘로,2,30
구로구,경인로,3,50
강서구,마곡중앙3로,1,30
성동구,뚝섬로,3,60
동대문구,장안벚꽃로,1,50
마포구,상암산로,2,50
용산구,서빙고로,2,50
종로구,평창문화로,2,50
종로구,송월길,1,30
영등포구,문래로30길,1,40
강서구,등촌로,3,50
성북구,장월로,1,50
마포구,토정로,2,50
도봉구,노해로65길,2,40
서대문구,증가로20가길,1,10
노원구,노원로18길,2,50
동대문구,이문로,2,50
강남구,선릉로130길,1,30
송파구,위례송파로,1,50
금천구,금하로,2,40
성동구,매봉18길,1,30
송파구,오금로27길,1,30
송파구,잠실로,4,30
서대문구,연희로5길,1,10
동대문구,홍릉로,2,30
동작구,매봉로6길,1,30
영등포구,영등포로18길,1,30
도봉구,도봉로169길,1,10
구로구,오리로13길,1,30
양천구,신정로7길,2,50
마포구,월드컵로,3,50
송파구,위례북로,1,30
중랑구,망우로,3,50
양천구,공항대로,4,50
양천구,신월로,3,50
중랑구,중랑역로,1,30
노원구,동일로228길,1,30
강남구,선릉로,2,50
도봉구,창포원로,2,50
중구,서소문로,2,50
송파구,오금로,3,50
마포구,강변북로,2,40
동대문구,황물로,2,40
구로구,남부순환로,2,30
관악구,문성로16길,1,30
송파구,오금로27길,1,30
성동구,독서당로,2,50
용산구,한강대로,4,50
은평구,북한산로,2,60
강남구,테헤란로,4,50
서초구,서운로,2,60
성동구,살곶이길,2,30
영등포구,당산로42길,1,30
송파구,성내천로43마길,2,60
노원구,동일로174길,1,30
강서구,개화동로20길,2,40
양천구,도림천로,1,50
은평구,덕양로,2,50
강서구,마곡중앙8로1길,1,30
성북구,종암로,4,50
성북구,종암로,4,50
강서구,오정로,1,30
노원구,노원로24길,1,30
구로구,디지털로27길,1,30
구로구,도림로,2,50
서초구,반포대로14길,1,30
성북구,한천로.월계로42길사이길,2,30
동대문구,한천로,1,50
성북구,종암로,4,50
동대문구,천호대로27길,1,30
용산구,서빙고로,2,50
구로구,공원로,1,30
영등포구,양평로28사길,1,30
영등포구,여의대로,1,50
은평구,대서문길,1,30
성동구,강변북로,1,40
강남구,테헤란로,4,50
중랑구,동일로,3,50
송파구,위례순환로,2,30
중랑구,공릉로18길,1,30
중랑구,신내역로1길,1,30
노원구,동일로,2,50
강남구,남부순환로,4,60
강동구,서울양양고속도로,2,80
영등포구,여의서로,2,50
송파구,동남로,3,60
중구,세종대로,4,50
구로구,공원로6가길,1,30
강동구,암사길,1,30
성북구,오패산로16길,1,30
강북구,삼양로77길,1,30
동대문구,장한로18길,1,30
용산구,한강대로23길,2,40
광진구,워커힐로,1,50
은평구,은평로,3,60
강남구,압구정로,3,50
강서구,공항대로41길,1,30
동작구,장승배기로,2,50
중구,장충단로,1,30
노원구,동부간선도로,1,40
용산구,이촌로54길,1,30
은평구,은평로,2,50
중랑구,동부간선도로,1,40
강남구,일원로3길,1,30
영등포구,여의대방로,3,50
마포구,매봉산로,2,50
강서구,공항대로,4,50
종로구,창경궁로,2,50
강서구,마곡중앙8로,1,30
강동구,양재대로,5,50
강북구,도봉로67길,1,30
관악구,신림로,4,50
중랑구,망우로,4,50
송파구,오금로35길,1,40
동대문구,답십리로72길,1,30
광진구,능동로,3,50
은평구,은평로,2,50
노원구,중계로,1,30
중구,삼일대로13길,1,30
용산구,강변북로,4,80
송파구,헌릉로,3,50
중랑구,신내역로3길,1,30
광진구,동일로,3,50
금천구,금하로23길,1,30
서초구,경부고속도로,5,110
마포구,월드컵로42길,2,30
영등포구,양평로21길,1,40
은평구,가좌로,2,50
성북구,보문로22길,1,40
성북구,정릉로,3,50
강서구,양천로,3,50
송파구,양재대로,4,50
송파구,삼학사로2길,1,30
송파구,탄천동로,2,30
성동구,난계로,2,50
구로구,구로동로26길,1,30
서대문구,서소문로,3,50
강남구,도곡로101길,1,40
영등포구,오목로,3,50
성동구,금호로,2,40
강북구,우이천로4길-한천로115길,1,50
용산구,이촌로,2,50
용산구,만리재로,2,50
중랑구,면목로,1,30
양천구,목동중앙북로8길,1,10
관악구,신림로,2,50
강남구,테헤란로43길,1,30
구로구,남부순환로,3,50
구로구,새말로,2,30
중랑구,상봉중앙로8길,1,30
노원구,초안산로,3,50
강동구,올림픽대로,1,40
성동구,강변북로,1,40
용산구,서빙고로91나길,1,40
강남구,역삼로,2,60
구로구,고척로,2,30
종로구,청계천로,2,30
성북구,북악산로,1,30
서초구,서운로,2,30
마포구,상암산로,3,50
영등포구,선유로,4,50
서초구,신반포로33길,2,30
강서구,금낭화로,2,30
도봉구,마들로14길,1,30
용산구,동작대로,1,40
용산구,이촌로71길,1,30
동작구,노들로,2,50
영등포구,63로,2,50
영등포구,영중로,3,50
성북구,내부순환도로,1,40
도봉구,방학로15길,1,30
노원구,공릉로,1,30
성동구,난계로,1,40
용산구,강변북로,4,80
용산구,회나무로,1,30
용산구,소월로38길,1,30
용산구,두텁바위로,2,50
송파구,연화로,3,30
송파구,송파대로,2,50
강남구,밤고개로23길,1,30
강서구,등촌로,3,50
중구,을지로39길,2,30
광진구,강변북로,4,80
성동구,동부간선도로,3,80
강남구,삼전로,3,50
강남구,삼성로,3,60
서초구,서초대로65길,1,30
종로구,청계천로,2,30
양천구,목동서로,2,30
성북구,월곡로10길,1,30
도봉구,해등로,2,40
도봉구,덕릉로63가길,1,30
동대문구,이문로54길,1,30
중랑구,망우로,3,50
은평구,연서로,3,50
송파구,삼전로,3,50
구로구,신도림로,3,30
강서구,수명로2가길,1,50
강남구,도곡로3길,1,30
중구,수표로,1,30
강동구,양재대로89길,1,30
송파구,강동대로,5,50
금천구,디지털로,2,50
구로구,경인로59길,1,30
강서구,마곡동로,2,60
구로구,경서로,2,30
노원구,중계로,2,30
양천구,신정중앙로,2,30
은평구,통일로73길,1,30
양천구,신월로,3,50
노원구,덕릉로94가길,1,30
서초구,효령로,2,50
영등포구,노들로,1,30
영등포구,양평로,2,50
광진구,아차산로69길,1,30
성북구,정릉로.인접길,1,10
동작구,만양로8길,1,30
용산구,서빙고로,2,50
서대문구,독립문로,1,30
노원구,화랑로,3,50
강서구,강서로,3,50
성동구,마장로,3,60
용산구,한강대로,4,50
용산구,한남대로,4,50
은평구,동축로,1,50
동작구,알마타길,1,30
강서구,수명로,1,40
영등포구,버드나루로,2,50
강서구,공항대로,4,50
강서구,강서로47길,2,30
송파구,올림픽대로,1,40
강서구,방화대로,4,50
영등포구,국제금융로8길,2,50
강서구,양천로77길,1,30
강서구,양천로,3,50
영등포구,영신로,2,50
강서구,마곡중앙로,3,50
강서구,마곡중앙8로7길,1,30
강서구,마곡중앙8로1길,1,30
서초구,효령로68길,1,30
서초구,양재대로12길,2,50
도봉구,노해로65길,1,10
중랑구,신내로7가길,1,30
중랑구,신내역로3길,1,30
동대문구,사가정로23가길,1,10
은평구,증산로,3,50
노원구,한글비석로,3,50
금천구,디지털로,3,50
은평구,연서로44길,1,20
동작구,사당로23나길,2,30
성북구,정릉로,3,50
성동구,왕십리로,3,30
양천구,안양천로,2,50
강서구,화곡로,3,50
강서구,마곡동로2길,1,30
관악구,성현로,2,50
송파구,위례서로,3,50
성북구,화랑로,3,50
영등포구,성산로,2,30
동작구,양녕로,3,50
강동구,아리수로,3,50
구로구,새말로,1,30
관악구,남부순환로,4,50
송파구,성내천로,2,40
송파구,위례광장로,2,30
중랑구,봉화산로,1,30
금천구,서부샛길,1,40
송파구,올림픽대로,1,40
마포구,토정로37길,1,30
동작구,올림픽대로,1,40
강남구,도산대로,5,50
광진구,능동로,3,50
광진구,동부간선도로,3,80
도봉구,노해로,2,30
도봉구,해등로,2,30
강동구,수도권제1순환고속도로,1,50
동대문구,천호대로,4,60
종로구,청계천로,1,30
강남구,테헤란로,4,50
노원구,상계로,2,60
강북구,덕릉로,4,50
강동구,동남로,3,50
강남구,영동대로86길,1,30
송파구,거마로,3,50
강동구,양재대로111길,1,60
노원구,동일로243길,2,60
송파구,양산로4길,1,30
강동구,아리수로94길,2,30
서대문구,홍제천로,2,30
강남구,영동대로3길,1,30
양천구,목동동로16길,1,30
양천구,목동동로,2,30
양천구,가로공원로,2,30
강남구,선릉로,2,50
노원구,마들로5길,1,30
노원구,동일로227길,1,40
성북구,화랑로5길,1,50
강동구,풍성로,1,40
종로구,율곡로,3,50
강서구,금낭화로,2,50
노원구,공릉로62길,1,30
용산구,원효로,3,50
동대문구,정릉천동로,1,60
노원구,동일로216길,1,30
강서구,마곡중앙로,1,30
강서구,공항대로,3,50
중랑구,용마산로,2,50
영등포구,영등포로,3,50
강서구,방화대로8길,2,30
강서구,강서농산물도매시장내부길,2,30
동작구,매봉로,1,30
서초구,동작대로,4,50
마포구,삼개로,1,30
양천구,중앙로29길,1,30
동작구,대림로,2,40
은평구,불광로2길,1,30
양천구,곰달래로,1,30
양천구,도림천로,1,50
종로구,북촌로5길,1,30
종로구,자하문로30길,1,30
노원구,노원로1나길,1,10
동작구,사당로,2,50
성북구,안암로,3,60
동대문구,사가정로,3,50
동대문구,답십리로41길,1,30
구로구,오류로,1,30
금천구,가산로9길,1,30
성북구,길음로,1,30
성북구,길음로15길,1,30
용산구,강변북로,4,80
성북구,오패산로16길,2,30
강남구,언주로,2,80
강동구,양재대로88길,1,30
마포구,신촌로,4,50
동대문구,답십리로65길,1,10
영등포구,버드나루로3길,1,10
강서구,마곡서로,1,30
광진구,강변북로,1,60
노원구,덕릉로,2,60
양천구,안양천로,1,60
강북구,한천로131길,1,30
성북구,보국문로,1,50
서초구,신반포로33길,1,30
동대문구,고산자로29길,1,60
구로구,구일로,2,50
강서구,강서로,3,50
서대문구,가재울로,1,40
도봉구,해등로32길,1,10
은평구,증산로,3,50
성동구,난계로,2,40
동대문구,장안벚꽃로,2,50
영등포구,선유로,2,30
중구,율곡로,3,50
성북구,솔샘로,1,30
성북구,솔샘로,1,30
종로구,율곡로,3,50
금천구,남부순환로108길,1,30
서초구,태봉로,2,50
강서구,공항대로,4,50
종로구,사직로,3,50
강남구,선릉로120길,2,30
중구,을지로,3,50
강서구,화곡로,2,50
강서구,공항대로,4,50
성동구,아차산로7길,1,30
구로구,디지털로,3,50
강동구,구천면로,1,30
강남구,영동대로,4,60
양천구,목동동로2길.인접길,1,30
성북구,오패산로,2,30
서대문구,성산로,1,40
강동구,성내로14길,1,30
강동구,아리수로91길,1,30
강북구,삼양로,2,50
도봉구,마들로,2,50
서초구,서초대로,3,50
서대문구,가좌로,2,50
서대문구,성산로.연희로26길사이길,1,20
영등포구,버드나루로,2,50
용산구,한강대로21길,2,40
마포구,월드컵북로,2,50
서초구,효령로2길,1,10
강서구,화곡로58길,1,30
강서구,공항대로36길,1,30
송파구,토성로,1,30
동작구,상도로26길,1,10
강서구,마곡중앙5로1길,1,30
강서구,마곡중앙2로,1,30
강서구,마곡중앙6로,1,30
서초구,남부순환로,1,40
성북구,월계로,3,50
중랑구,면목천로,2,50
종로구,종로41길,1,30
성북구,성북로23길,1,10
은평구,연서로48길,1,40
영등포구,여의서로,2,50
강서구,마곡중앙8로,1,30
영등포구,여의대방로43나길,1,30
강남구,도산대로50길,1,30
강남구,테헤란로86길,1,40
동작구,사당로,2,50
강서구,우장산로,1,30
마포구,강변북로,1,40
강서구,양천로75길,1,10
은평구,일영로,2,30
은평구,증산서길,1,30
강남구,언주로,4,60
양천구,가로공원로,2,30
도봉구,해등로,2,30
송파구,중대로,3,50
영등포구,당산로,3,50
마포구,마포대로,4,50
영등포구,당산로44길,1,30
종로구,새문안로5길,1,30
종로구,자하문로,2,30
양천구,목동서로,2,50
동대문구,사가정로,3,60
영등포구,신길로,2,50
서초구,잠원로,2,50
강남구,역삼로,2,30
성북구,정릉로52길,1,30
성북구,국민대학교.내부도로,1,30
마포구,독막로20길,1,10
강서구,강서농산물도매시장내부길,2,40
용산구,강변북로,1,40
도봉구,도봉로165길,1,30
중랑구,양원역로,1,30
송파구,강동대로,5,50
강서구,마곡동로6길,1,40
강남구,언주로,4,60
서초구,올림픽대로,1,30
마포구,신촌로34길,1,30
마포구,상암산로1길,1,30
마포구,마포대로10길,1,30
금천구,독산로,2,50
중랑구,용마산로36길,1,30
서초구,서초중앙로,3,60
관악구,호암로,2,40
구로구,새말로12길,1,40
송파구,문정로,2,50
중랑구,경춘북로,3,50
양천구,목동동로4길,1,30
양천구,목동중앙로,2,30
서초구,명달로,2,50
동작구,만양로8길,1,50
용산구,백범로90길,1,60
송파구,새말로,1,40
서초구,성촌6길,1,30
서초구,양재천로,1,30
양천구,안양천로,3,50
종로구,율곡로,3,50
강남구,테헤란로52길,1,30
강남구,도산대로46길,1,30
강남구,도산대로37길,1,30
강남구,선릉로145길,1,30
영등포구,도영로,2,50
강서구,강서농산물도매시장내부길,2,10
송파구,오금로,3,50
송파구,마천로,2,50
강북구,오현로,1,50
강동구,고덕로,2,50
송파구,위례북로,1,30
서초구,강남대로,1,60
강동구,동남로49길,1,30
송파구,법원로,2,30
서초구,올림픽대로,4,80
강서구,강서로,2,50
광진구,능동로,3,50
강남구,언주로,2,80
관악구,남부순환로,1,50
동대문구,천호대로69길,1,10
중구,퇴계로26길,1,30
동작구,양녕로38길,1,30
동작구,양녕로.양녕로20길사이길,1,30
중랑구,용마산로,2,50
서대문구,성산로,2,50
성북구,한천로,3,50
구로구,경인로67길,1,30
서대문구,성산로,4,50
강서구,까치산로,1,30
양천구,중앙로,3,50
양천구,신월로,3,50
성북구,정릉로,2,50
강서구,마곡서로,1,30
영등포구,가마산로31길,1,60
중랑구,양원역로16길,1,50
양천구,지양로,1,30
강서구,공항대로71길,1,30
은평구,통일로87길,1,30
양천구,목동동로,2,50
중구,을지로45길,2,30
중구,마장로,1,30
서초구,남부순환로,2,50
영등포구,선유로,4,60
강남구,테헤란로,4,50
도봉구,덕릉로54길,1,30
강남구,학동로,3,50
송파구,올림픽로,4,50
광진구,능동로,2,50
강남구,양재대로,4,70
성북구,장위로15길,1,10
성북구,한천로101가길,1,30
은평구,수색로,1,30
서초구,서초중앙로,3,50
도봉구,마들로,2,50
강동구,진황도로,1,40
중구,소공로,4,50
강서구,수명로.남부순환로17길,1,40
영등포구,양평로,3,50
마포구,강변북로,2,40
노원구,우이천로,1,30
노원구,노원로15길,1,30
노원구,노원로,3,50
구로구,구일로,1,40
구로구,경서로11길,1,10
은평구,서오릉로,3,50
은평구,갈현로,1,30
은평구,진관1로,1,30
관악구,남부순환로,4,50
구로구,경인로,2,30
구로구,중앙로14가길,1,40
영등포구,여의서로,1,40
영등포구,양평로,2,50
송파구,동남로,3,50
강동구,구천면로,1,30
동작구,양녕로23길,1,30
송파구,마천로,2,40
동대문구,사가정로4길,1,30
양천구,중앙로32길,1,30
광진구,광장로,1,50
영등포구,여의대방로43나길,1,30
강서구,마곡서로,1,30
서초구,경부고속도로,1,40
양천구,중앙로,3,50
강서구,양천로,1,50
동작구,흑석로,1,50
강북구,인수봉로,2,30
구로구,경인로35길,1,30
중랑구,송림길,1,30
광진구,뚝섬로,2,40
은평구,서오릉로,3,50
마포구,상암산로,1,30
도봉구,방학로,1,50
광진구,능동로10길,1,30
강남구,영동대로,6,50
중랑구,망우로87길,2,30
영등포구,신풍로,2,50
노원구,공릉로,1,30
노원구,노원로17길,2,30
서대문구,거북골로,1,40
동대문구,천호대로.황물로.사이길,1,40
광진구,아차산로76길,1,30
강서구,허준로,2,30
중구,난계로,2,50
도봉구,해등로25길,1,30
종로구,북촌로,2,30
성북구,보문로,2,50
강남구,선릉로,3,60
중구,청구로,2,40
마포구,월드컵북로44길,1,10
마포구,강변북로,2,30
동대문구,고산자로,3,50
동대문구,고산자로56길,1,10
강동구,천호대로,3,50
종로구,새문안로,3,50
금천구,시흥대로,1,40
영등포구,성산로,1,60
성북구,북부간선도로,1,30
성북구,북악산로,1,30
성동구,독서당로,2,60
노원구,노원로,3,50
은평구,연서로50길,1,40
송파구,동남로20길,1,40
중랑구,중랑천로,2,30
중랑구,망우로63길,1,30
중구,정동길,1,50
동작구,보라매로,3,50
강동구,올림픽로,2,40
강남구,학동로,3,50
강동구,성내로14길,1,30
관악구,성현로,2,50
마포구,성산로,3,50
동대문구,휘경로,2,40
노원구,한글비석로54길,1,30
강남구,학동로,3,50
마포구,강변북로,4,80
마포구,독막로,3,60
용산구,효창원로,2,30
중랑구,숙선옹주로,2,30
송파구,강동대로2길,1,30
중랑구,신내로,3,50
구로구,신도림로11길,1,30
금천구,독산로36나길,1,30
구로구,남부순환로,2,50
구로구,가마산로,3,50
서대문구,신촌로,4,50
영등포구,올림픽대로,4,80
중구,녹사평대로58길,1,40
성동구,강변북로,4,80
은평구,진관4로,1,30
광진구,동부간선도로,1,60
강북구,솔샘로,1,30
서초구,헌릉로,4,50
강서구,강서로,2,50
강남구,테헤란로52길,1,30
송파구,위례순환로,2,30
서초구,방배중앙로,1,30
동대문구,무학로,2,50
금천구,벚꽃로,2,40
은평구,불광로,1,30
은평구,북한산로,2,60
광진구,강변북로,4,80
금천구,시흥대로,5,50
성북구,월곡로14길,1,30
중랑구,양원역로,1,30
성북구,대사관로,1,30
동작구,현충로4길,2,40
광진구,천호대로138길,1,30
성북구,종암로27길,1,30
노원구,동일로197길,3,30
금천구,벚꽃로,1,40
금천구,시흥대로4길,1,30
서대문구,북아현로1가길,2,30
성동구,매봉길,1,40
서초구,효령로,3,50
영등포구,대방천로,3,50
동대문구,답십리로,2,60
강동구,고덕로80길,2,30
도봉구,덕릉로,1,50
양천구,중앙로29길,1,30
영등포구,경인로,4,50
광진구,구천면로,1,50
광진구,강변북로.한가람로사이길,1,50
강남구,학동로,3,50
영등포구,도신로29길,1,30
강남구,헌릉로571길,1,40
강서구,가로공원로,2,30
강남구,강남대로,4,50
서대문구,성산로,1,30
영등포구,여의대방로,3,50
성동구,강변북로,4,80
노원구,섬밭로,1,30
양천구,신월로24길,1,30
강동구,명일로,2,40
강서구,개화동로8길,2,30
구로구,남부순환로,1,40
강서구,마곡중앙6로,1,30
구로구,공원로,1,30
강북구,도봉로,1,50
동대문구,사가정로,2,40
영등포구,도림로,1,30
영등포구,여의대방로,2,50
강남구,양재대로,3,70
중구,칠패로,4,50
구로구,새말로18길,1,50
마포구,성암로,2,50
마포구,월드컵북로,3,50
성동구,강변북로,5,80
성동구,광나루로11길,1,30
성동구,난계로,1,40
서대문구,새문안로,3,50
성동구,독서당로,2,50
동대문구,천호대로,5,60
중구,통일로,4,40
구로구,구로중앙로32길,1,50
강서구,양천로,3,50
강서구,마곡중앙로,3,60
구로구,경인로47길,1,10
용산구,원효로71길,1,30
동대문구,하정로,1,30
송파구,위례서로,3,50
강서구,공항대로,3,50
강서구,마곡동로10길,1,30
금천구,기아로,3,40
성북구,보문로,2,50
강서구,등촌로13길,1,10
중구,삼일대로,3,50
용산구,효창원로,1,30
강남구,광평로51길,1,30
동대문구,휘경로,2,40
영등포구,대림로,3,50
마포구,대흥로24길,2,30
성북구,고려대로,2,50
서초구,헌인릉길,2,60
마포구,증산로,3,50
송파구,성내천로47길,1,50
노원구,한글비석로54길,1,30
종로구,종로,2,50
마포구,월드컵북로62길,1,30
송파구,중대로9길,1,30
은평구,역말로,2,30
송파구,위례북로,1,30
강서구,마곡중앙로,3,50
양천구,목동남로.인접길,2,10
서초구,신반포로,3,50
구로구,경인로47길,1,30
영등포구,도신로29길,1,30
용산구,동작대로,3,60
성북구,길음로,1,30
광진구,송파대로,4,60
은평구,갈현로11길,1,10
은평구,연서로,2,60
은평구,갈현로45길,1,30
은평구,통일로72길,1,30
서대문구,서소문로,2,50
용산구,녹사평대로,2,50
광진구,동일로,2,50
강남구,논현로,3,50
영등포구,올림픽대로,2,50
강남구,학동로60길,1,30
강동구,올림픽로,2,50
성동구,성덕정길,1,40
영등포구,당산로,3,50
강동구,올림픽로98길,1,40
금천구,독산로36나길,1,30
강서구,양천로67길,1,30
송파구,올림픽대로,1,40
중랑구,동일로,2,50
구로구,오리로15길,1,50
마포구,증산로,2,50
중구,을지로,3,50
마포구,월드컵북로,2,50
송파구,거마로,3,50
영등포구,여의대방로,3,50
구로구,고척로,2,30
강서구,김포대로,2,50
마포구,월드컵북로,1,30
중구,청구로4길,1,30
강서구,양천로,2,50
양천구,오목로,2,50
강서구,양천로,3,50
용산구,녹사평대로,1,50
은평구,진관1로,2,50
양천구,월정로,1,30
양천구,목동남로4길,1,30
동대문구,한천로36길,1,10
동대문구,장한로12길,1,30
노원구,동일로,1,50
성동구,살곶이길,1,60
광진구,면목로,1,40
동작구,흑석로9길,1,10
양천구,목동로,3,50
도봉구,노해로69길,2,30
송파구,백제고분로36길,1,50
노원구,월계로,1,50
중구,서소문로8길,1,30
중랑구,양원역로,1,30
강서구,마곡중앙로,1,30
강남구,논현로,3,50
광진구,동부간선도로,3,80
금천구,안양천로,4,60
강남구,언주로30길.양재천로,2,30
성동구,천호대로,4,50
동대문구,왕산로,3,50
영등포구,신길로42길,1,30
종로구,송월길,1,30
강남구,언주로134길,1,30
강남구,언주로30길,2,30
강남구,논현로86길,1,30
관악구,문성로16다길,1,10
강남구,삼성로,3,60
중구,퇴계로,3,50
동대문구,사가정로,2,60
영등포구,신길로42라길,1,30
강북구,노해로,2,50
강서구,강서로,3,50
영등포구,문래로,1,30
노원구,화랑로51가길,1,30
마포구,백범로25길,1,30
노원구,우이천로,1,30
노원구,동일로198가길,1,30
노원구,상계로,1,30
은평구,진관3로,1,30
마포구,월드컵로,3,50
노원구,수락산로,1,30
중랑구,상봉중앙로1다길,1,30
강동구,아리수로87길,1,30
강남구,논현로,3,60
동작구,노들로,2,60
성동구,강변북로,1,40
마포구,강변북로,1,40
영등포구,여의동로,2,50
광진구,워커힐로,1,40
광진구,긴고랑로,2,50
동대문구,이문로42길,1,10
동대문구,한천로,3,60
서초구,반포대로,2,50
강동구,아리수로91길,1,30
은평구,진관3로,1,40
강서구,공항대로,4,50
용산구,새창로,2,30
금천구,디지털로,2,50
마포구,월드컵북로,4,50
중랑구,망우로60길,1,30
마포구,모래내로9길,1,10
서초구,양재대로12길,2,50
강동구,성내로,2,50
송파구,성내천로37길,2,30
동작구,현충로,1,70
마포구,희우정로,2,30
강남구,올림픽대로,5,80
금천구,디지털로,2,50
송파구,송파대로32길,1,30
동대문구,이문로9길,1,10
중랑구,망우로,3,50
중랑구,용마산로,3,50
노원구,노해로,3,60
관악구,관천로,2,50
노원구,섬밭로,2,30
강서구,김포공항내부도로,2,40
강남구,양재대로33길,1,30
도봉구,도봉로,4,50
종로구,종로3길,1,40
중구,세종대로11길,2,30
용산구,녹사평대로,3,50
영등포구,도신로,2,50
동작구,동작대로39길,1,30
중랑구,중랑역로,1,30
강동구,명일로24길,1,30
중구,무교로,2,50
구로구,고척로,2,30
중랑구,동일로169길,1,30
강남구,선릉로,2,60
종로구,율곡로2길,2,50
중구,퇴계로,3,50
서초구,효령로2길,1,10
동작구,신대방1가길,1,30
강서구,양천로26길,1,30
송파구,연화로,3,30
노원구,노원로,3,50
마포구,서강로,4,50
강남구,선릉로,3,50
관악구,대학길,1,10
양천구,남부순환로88길,1,30
강서구,화곡로18길,1,30
양천구,국회대로,1,50
구로구,경인로47길,1,30
노원구,공릉로,1,30
영등포구,국제금융로6길,2,30
중랑구,동일로,3,50
양천구,안양천로,3,50
구로구,개봉로2길.인접길,1,40
광진구,자양로,2,50
영등포구,여의나루로,1,40
마포구,화곡로,3,60
강남구,남부순환로378길,1,40
송파구,오금로,3,50
노원구,한글비석로8길,2,30
관악구,보라매로,2,50
관악구,신림로,3,50
구로구,경인로,3,50
송파구,한가람로,2,40
광진구,군자로,1,30
강남구,언주로,1,30
서초구,성촌1길,1,30
영등포구,문래북로,1,40
영등포구,여의서로,2,40
중구,칠패로,1,50
도봉구,노해로,3,50
금천구,벚꽃로,1,40
성북구,솔샘로,2,30
용산구,녹사평대로,3,50
양천구,화곡로,3,50
강서구,올림픽대로,4,80
강서구,양천로,3,50
동작구,노들로,2,50
서초구,반포대로,3,50
동대문구,답십리로69길,1,30
강동구,양재대로,2,50
서초구,바우뫼로7길,1,30
중구,동호로,4,50
양천구,월정로,1,30
중랑구,용마산로,2,50
종로구,세종대로,6,50
성북구,성북로,1,30
성북구,월곡로,1,30
노원구,석계로,1,30
양천구,신월로36길,1,30
성북구,안암로5길,1,30
강동구,올림픽대로,1,40
노원구,동일로192길,2,30
성북구,화랑로19길,1,50
강서구,마곡동로,1,30
강서구,마곡중앙12로,1,30
영등포구,도림로,2,50
송파구,감이남로,1,30
은평구,수색로24길,2,50
도봉구,노해로,2,50
종로구,평창길,1,30
강남구,학동로68길,2,30
종로구,새문안로2길,1,30
은평구,진관3로,1,30
노원구,동일로,3,50
성북구,길음로,1,30
강동구,천호대로,1,30
광진구,동일로,2,50
강서구,김포대로,2,60
